indicators_harmonized,change in indic name,ga,sua,va,ias,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,usage,ipbes,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
the extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime,,,,,,,,,,,,1,,,1,,1,1,,,,Governance,,Nature-based legislation,
the overall conservation status of wetlands,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,State of ecosystems (freshwater/coastal),
status and trends in wetland ecosystem extent,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,State of ecosystems (freshwater/coastal),
trends in conservation status - qualitative assessment,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,Area conservation,
the status of the ecological character of ramsar sites,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,State of ecosystems (freshwater/coastal),
trends in the status of ramsar site ecological character - qualitative assessment,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,State of ecosystems (freshwater/coastal),
trends in water quality,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,State of ecosystems (integrity),
trends in dissolved nitrate (or nitrogen) concentration,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,State of ecosystems (integrity),
trends in biological oxygen demand (bod),,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,State of ecosystems (integrity),
the frequency of threats affecting ramsar sites,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,State of ecosystems (integrity),
the frequency of threats affecting ramsar sites - qualitative assessment,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,State of ecosystems (integrity),
wetland sites with successfully implemented conservation or wise use management plans,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,Area conservation,
overall population trends of wetland taxa,,,,,,,,,,,,,1,,1,,1,1,,,,biodiversity,,Change in biodiversity,
trends in the status of waterbird biogeographic populations,,,,,,,,,,,,,1,,1,,1,1,,,,biodiversity,,Change in biodiversity,
changes in threat status of wetland taxa,,,,,,,,,,,,,1,,1,,1,1,,,,biodiversity,,Change in biodiversity,
trends in the status of globally-threatened wetland-dependent birds,,,,,,,,,,,,,1,,1,,1,1,,,,biodiversity,,Change in biodiversity,
trends in the status of globally-threatened wetland-dependent amphibians,,,,,,,,,,,,,1,,1,,1,1,,,,biodiversity,,Change in biodiversity,
the proportion of candidate ramsar sites designated so far for wetland types/features,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,Area conservation,
coverage of the wetland resource by designated ramsar sites,,,,,,,,,,,,,1,,1,,1,1,,,,ecosystems,,Area conservation,
trends in land cover,,,,,,,,,,,,,,1,1,,1,1,,,,ecosystems,,Change in biodiversity,
trends in land productivity,,,,,,,,,,,,,,1,1,,1,1,,,,ecosystems,,Change in biodiversity,
"trends in carbon stocks (above and below ground), which is currently represented by soil organic carbon (soc) stocks",soil organic carbon (soc) stocks,,,,,,,,,,,,,1,1,,1,1,,,,ecosystems,Ecosystem services,Abiotic conditions,Nature contribution
monthly maximum value of daily maximum temperature,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
monthly minimum value of daily maximum temperature,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
monthly minimum value of daily minimum temperature,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
monthly maximum value of daily minimum temperature,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
percentage of days when daily maximum temperature is greater than the 90th percentile,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
percentage of days when daily maximum temperature is less than the 10th percentile,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
percentage of days when daily minimum temperature is greater than the 90th percentile,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
percentage of days when daily minimum temperature is less than the 10th percentile,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
number of icing days: annual count of days when tx (daily maximum temperature) <0°c,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
number of frost days: annual count of days when tn (daily minimum temperature) <0°c,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
warm spell duration index (wsdi),,,,,,,1,,,,,,,,1,,,1,1,,,Direct drivers,ecosystems,Climate change,Abiotic conditions
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,,,,,,,1,,,,,,,,1,,,1,1,,,Direct drivers,ecosystems,Climate change,Abiotic conditions
number of summer days: annual count of days when tx (daily maximum temperature) >25°c,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
daily temperature range: monthly mean difference between tx and tn,,,,,,,1,,,,,,,,1,,,1,,,,Direct drivers,,Climate change,
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
one-in-20 year return value of monthly maximum value of daily maximum temperature,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
one-in-20 year return value of monthly minimum value of daily maximum temperature,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
one-in-20 year return value of monthly minimum value of daily minimum temperature,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
one-in-20 year return value of monthly maximum value of daily minimum temperature,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
maximum one-day precipitation,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
maximum five-day precipitation,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
annual count of days when precipitation is greater than or equal to 5 mm,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual count of days when precipitation is greater than or equal to 10 mm,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual count of days when precipitation is greater than or equal to 20 mm,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual count of days when precipitation is greater than or equal to 50 mm,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
maximum number of consecutive days with less than 1 mm of precipitation per day,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
simple precipitation intensity index,,,,,,,1,,,,,,,,1,,,1,1,,,ecosystems,,Abiotic conditions,
one-in-20 year return value of maximum one-day precipitation,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
one-in-20 year return value of maximum five-day precipitation,,,,,,,1,,,,,,,,1,,,1,,,,ecosystems,,Abiotic conditions,
standardized precipitation index,,,,,,,1,,,,,,,,1,,,1,1,,,ecosystems,,Abiotic conditions,
"potential evaporation, evaporative demand drought index",,,,,,,1,,,,,,,,1,,,1,1,,,ecosystems,,Abiotic conditions,
soil moisture anomalies,,,,,,,1,,,,,,,,1,,,1,1,,,ecosystems,,Abiotic conditions,
standardized soil moisture index,,,,,,,1,,,,,,,,1,,,1,1,,,ecosystems,,Abiotic conditions,
standardized runoff index,,,,,,,1,,,,,,,,1,,,1,1,,,ecosystems,,Abiotic conditions,
standardized streamflow index,,,,,,,1,,,,,,,,1,,,1,1,,,ecosystems,,Abiotic conditions,
palmer drought severity index,,,,,,,1,,,,,,,,1,,,1,1,,,ecosystems,,Abiotic conditions,
standardized precipitation evapotranspiration index (spei),,,,,,,1,,,,,,,,1,,,1,1,,,ecosystems,,Abiotic conditions,
gross domestic product,,1,1,1,1,,,,,,,,,,4,1,,1,1,,,Human assets,,State of economy,
globalization index,,1,,,,,,,,,,,,,1,1,,1,1,,,Human assets,,Information on society and socio-economics,
poverty gap,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,Human assets,Coverage of basic needs,Income
food security index,,1,,,,,,,,,,,,,1,1,,1,1,,,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
depth of the food deficit (kcal/capit a/day) (3- year average),,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
access to improved sanitation facilities,,1,,,,,,,,,,,,,1,1,,1,1,,,Human assets,,Coverage of basic needs,
domestic material consumption,,1,,,,1,,,,,,,,,2,1,,1,1,,,Human assets,,State of economy,
per capita calorie intake,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
prevalence of obesity in the adult population (18 years and older),,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
energy use (kg of oil equivalent per capita),,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Infrastructure (build-up area),
mobile cellular subscriptions,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Infrastructure (build-up area),
fossil-fuel energy consumption (% of total),,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Infrastructure (build-up area),
